stars,text
5,"['wife', 'took', 'birthday', 'breakfast', 'excellent', 'weather', 'perfect', 'made', 'sitting', 'outside', 'overlooking', 'grounds', 'absolute', 'pleasure', 'waitress', 'excellent', 'food', 'arrived', 'quickly', 'semibusy', 'Saturday', 'morning', 'looked', 'like', 'place', 'fills', 'pretty', 'quickly', 'earlier', 'get', 'better', 'favor', 'get', 'Bloody', 'Mary', 'phenomenal', 'simply', 'best', 'Ive', 'ever', 'Im', 'pretty', 'sure', 'use', 'ingredients', 'garden', 'blend', 'fresh', 'order', 'amazing', 'EVERYTHING', 'menu', 'looks', 'excellent', 'white', 'truffle', 'scrambled', 'eggs', 'vegetable', 'skillet', 'tasty', 'delicious', 'came', '2', 'pieces', 'griddled', 'bread', 'amazing', 'absolutely', 'made', 'meal', 'complete', 'best', 'toast', 'Ive', 'ever', 'Anyway', 'cant', 'wait', 'go', 'back']"
5,"['idea', 'people', 'give', 'bad', 'reviews', 'place', 'goes', 'show', 'please', 'everyone', 'probably', 'griping', 'something', 'faultthere', 'many', 'people', 'like', 'case', 'friend', 'arrived', '550', 'PM', 'past', 'Sunday', 'pretty', 'crowded', 'thought', 'Sunday', 'evening', 'thought', 'would', 'wait', 'forever', 'get', 'seat', 'said', 'well', 'seated', 'girl', 'comes', 'back', 'seating', 'someone', 'else', 'seated', '552', 'waiter', 'came', 'got', 'drink', 'orders', 'Everyone', 'pleasant', 'host', 'seated', 'us', 'waiter', 'server', 'prices', 'good', 'well', 'placed', 'orders', 'decided', 'wanted', '602', 'shared', 'baked', 'spaghetti', 'calzone', 'small', 'Heres', 'Beef', 'pizza', 'try', 'calzone', 'huge', 'got', 'smallest', 'one', 'personal', 'got', 'small', '11', 'pizza', 'awesome', 'friend', 'liked', 'pizza', 'better', 'liked', 'calzone', 'better', 'calzone', 'sweetish', 'sauce', 'thats', 'like', 'sauce', 'box', 'part', 'pizza', 'take', 'home', 'door', '642', 'everything', 'great', 'like', 'bad', 'reviewers', 'goes', 'show', 'try', 'things', 'bad', 'reviewers', 'serious', 'issues']"
5,"['Rosie', 'Dakota', 'LOVE', 'Chaparral', 'Dog', 'Park', 'convenient', 'surrounded', 'lot', 'paths', 'desert', 'xeriscape', 'baseball', 'fields', 'ballparks', 'lake', 'ducks', 'Scottsdale', 'Park', 'Rec', 'Dept', 'wonderful', 'job', 'keeping', 'park', 'clean', 'shaded', 'find', 'trash', 'cans', 'poopypick', 'mitts', 'located', 'park', 'paths', 'fenced', 'area', 'huge', 'let', 'dogs', 'run', 'play', 'sniff']"
5,"['General', 'Manager', 'Scott', 'Petello', 'good', 'egg', 'go', 'detail', 'let', 'assure', 'issues', 'albeit', 'rare', 'speak', 'Scott', 'treat', 'guy', 'respect', 'state', 'case', 'Id', 'surprised', 'dont', 'walk', 'totally', 'satisfied', 'Like', 'always', 'say', 'Mistakes', 'inevitable', 'recover', 'important', 'Thanks', 'Scott', 'awesome', 'staff', 'Youve', 'got', 'customer', 'life']"
5,"['Drop', 'youre', 'drive', 'ate', 'go', 'back', 'next', 'day', 'food', 'good', 'cute', 'little', 'green', 'building', 'may', 'gone', 'competely', 'unoticed', 'hadnt', 'driving', 'Palm', 'Rd', 'avoid', 'construction', 'waiting', 'turn', 'onto', '16th', 'Street', 'Grand', 'Opening', 'sign', 'caught', 'eye', 'little', 'yelping', 'soul', 'leaped', 'joy', 'new', 'place', 'try', 'looked', 'desolate', 'outside', 'opened', 'door', 'put', 'easy', 'decor', 'smell', 'cleanliness', 'inside', 'ordered', 'dinner', 'two', 'go', 'menu', 'awesome', 'loved', 'seeing', 'variety', 'poblano', 'peppers', 'mole', 'mahi', 'mahi', 'mushroomssomething', 'wrapped', 'banana', 'leaves', 'made', 'difficult', 'choose', 'something', 'Heres', 'Ive', 'far', 'La', 'Condesa', 'Shrimp', 'Burro', 'Baja', 'Sur', 'Dogfish', 'Shark', 'Taco', 'delicious', 'meals', 'shrimp', 'burro', 'stole', 'show', 'much', 'flavor', 'snagged', 'bites', 'hubbys', 'mole', 'mahi', 'mahi', 'burros', 'mmmm', 'delight', 'salsa', 'bar', 'endless', 'really', 'stocked', 'excited', 'try', 'strawberry', 'salsa', 'hot', 'fact', 'Im', 'big', 'wimp', 'comes', 'hot', 'peppers', 'horchata', 'handmade', 'delicious', 'throw', 'pecans', 'fruit', 'yummy', 'bonus', 'good', 'food', 'wasnt', 'enough', 'win', 'art', 'restaurant', 'sho', 'Im', 'sucker', 'Mexican', 'folk', 'art', 'Frida', 'Kahlo', 'Oprah', 'Theres', 'painting', 'Diego', 'hanging', 'salsa', 'bar', 'amazing', 'paintings', 'great', 'love', 'artist']"
5,"['Nobuo', 'shows', 'unique', 'talents', 'everything', 'menu', 'Carefully', 'crafted', 'features', 'much', 'drink', 'Start', 'pork', 'belly', 'buns', 'stout', 'go', 'longer']"
5,"['oldish', 'man', 'owns', 'store', 'sweet', 'Perhaps', 'sweeter', 'cookies', 'ice', 'cream', 'Heres', 'lowdown', 'Giant', 'ice', 'cream', 'cookie', 'sandwiches', 'super', 'cheap', 'flavor', 'permutations', 'basically', 'endless', 'snickerdoodle', 'cookies', 'cream', 'ice', 'cream', 'marvelous']"
5,"['Wonderful', 'Vietnamese', 'sandwich', 'shoppe', 'baguettes', 'great', 'hot', 'oven', 'butter', 'one', 'many', 'sandwich', 'choices', 'modest', 'selection', 'baked', 'goods', 'along', 'best', 'egg', 'rolls', 'around', 'Bring', 'cash', 'ATM', 'card', 'credit', 'cards', 'accepted', 'ATM', 'premises']"
5,"['limited', 'time', 'thing', 'going', 'right', 'BBQ', 'chicken', 'pizza', 'sure', 'long', 'going', 'last', 'let', 'say', 'amazing', 'Probably', 'best', 'BBQ', 'Chicken', 'pizza', 'ever', 'tried', 'things', 'like', 'tomato', 'basil', 'soup', 'many', 'sandwiches', 'good', 'fresh', 'every', 'time', '5', 'stars', 'pizza', 'rate', 'Jasons', 'Deli', 'would', 'get', '4']"
5,"['okay', 'best', 'place', 'EVER', 'grew', 'shopping', 'one', 'los', 'gatos', 'one', 'Oakville', 'shock', 'saw', 'best', 'store', 'world', 'Scottsdale', 'surprised', 'good', 'stuff', 'cheese', 'wine', 'cant', 'tell', 'happy', 'store', 'Arizona', 'could', 'get', 'dean', 'deluca']"
5,"['place', 'shouldnt', 'even', 'reviewed', 'kind', 'place', 'want', 'keep']"
5,"['first', 'time', 'friend', 'went', 'delicious', 'food', 'garlic', 'knots', 'favorite', 'course', 'wine', 'going', 'back', 'ALOT']"
1,"['U', 'go', 'n', 'check', 'car', 'u', 'wanna', 'buy', '1', 'Thats', 'wrong', 'move', 'u', 'even', 'want', 'car', 'service', 'U', 'made', 'biggest', 'mistake', 'ur', 'life', '1', 'time', 'asked', 'girlfriend', 'take', 'car', 'oil', 'service', 'guess', 'ripped', 'girlfriend', 'lying', 'bad', 'car', 'without', 'fixing', 'problem', 'Might', 'bring', 'serious', 'accident', 'said', '4', 'brand', 'new', 'tires', 'timing', 'belt', '4', 'new', 'brake', 'pads', 'U', 'know', 'whys', 'worst', 'changed', '2', 'months', 'trashy', 'dealer', 'People', 'better', 'go', 'somewhere']"
5,"['love', 'place', 'coming', 'ages', 'favorites', 'Elsas', 'Chicken', 'sandwich', 'burgers', 'dragon', 'chicken', 'wings', 'chinas', 'little', 'chicken', 'sandwich', 'hot', 'pepper', 'chicken', 'sandwich', 'atmosphere', 'always', 'fun', 'art', 'display', 'abstract', 'totally', 'cool']"
5,"['love', 'love', 'LOVE', 'place', 'boss', 'healthy', 'eating', 'recommended', 'place', 'went', 'highly', 'skeptical', 'friends', 'one', 'dinner', 'enough', 'convert', 'believers', 'food', 'good', 'Shrimp', 'dumplings', 'Onion', 'tart', 'starters', 'ordered', 'Shirataki', 'noodles', 'street', 'tacos', 'entrees', 'also', 'ordered', 'Kaleaid', 'dishes', 'yummy', 'gone', 'back', 'many', 'times', 'since', 'never', 'disappointed', 'gone', 'yoga', 'get', 'Kale', 'salad', 'chicken', 'chopped', 'salad', 'always', 'get', 'Kale', 'aid', 'guy', 'next', 'table', 'uprooted', 'whole', 'plant', 'mistake', 'patio', 'highly', 'embarrassed', 'date', 'Ever', 'since', 'careful', 'throw', 'arms', 'around', 'quite', 'clumsy', 'sometimes', 'want', 'banned', 'favorite', 'place', 'clumsiness', 'dont', 'think', 'live', 'without', 'True', 'Food']"
5,"['Disclaimer', 'Like', 'many', 'sucker', 'charming', 'little', 'homes', 'repurposed', 'restaurants', 'certain', 'colored', 'opinion', 'Cibo', 'said', 'absolutely', 'love', 'lunch', 'day', 'unknowingly', 'arrived', '205', '5', 'minutes', 'close', 'lunch', 'dinner', 'served', 'anyway', 'salscicia', 'sandwich', 'side', 'fruit', 'sandwich', 'excellent', 'served', 'perfectly', 'crisp', 'chewy', 'saltimbocca', 'bread', 'sausage', 'flavorful', 'complimented', 'roasted', 'red', 'peppers', 'onions', 'finished', 'great', 'quality', 'mozzarella', 'cheese', 'Really', 'really', 'delicious', 'also', 'say', 'atmosphere', 'friendly', 'comfortable', 'though', 'bit', 'small', 'would', 'great', 'place', 'hang', 'lived', 'nearby']"
1,"['Disgusting', 'Groupon', 'daughter', 'tried', 'outdated', 'gaudy', '80s', 'style', 'interior', 'made', 'feel', 'like', 'episode', 'Sopranos', 'food', 'pretty', 'bad', 'ordered', 'pretty', 'simple', 'dishes', 'flavor', 'trying', 'Im', 'positive', 'good', 'reviews', 'employees', 'owners', 'creating']"
